ID_Paquete,Pais,Fecha_Venta,Venta
40617383491,Colombia,2021-06-01,1
40617382251,Colombia,2021-06-01,3
40617420239,Colombia,2021-06-01,1
40617384130,Colombia,2021-06-01,1
40617424120,Colombia,2021-06-01,1
40617422105,Colombia,2021-06-01,1
40617425386,Colombia,2021-06-01,1
40617409748,Colombia,2021-06-01,1
40617399420,Colombia,2021-06-01,1
40617386954,Colombia,2021-06-01,1
40617394094,Colombia,2021-06-01,1
40617378399,Colombia,2021-06-01,1
40617425815,Colombia,2021-06-01,1
40617427175,Colombia,2021-06-01,1
40617397464,Colombia,2021-06-01,1
40617406067,Colombia,2021-06-01,1
40617411902,Colombia,2021-06-01,1
40617424845,Colombia,2021-06-01,1
40617402588,Colombia,2021-06-01,1
40617407099,Colombia,2021-06-01,1
40617395689,Colombia,2021-06-01,1
40617387072,Colombia,2021-06-01,1
40617394084,Colombia,2021-06-01,3
40617386871,Colombia,2021-06-01,1
40617005570,Colombia,2021-06-01,1
40617400999,Colombia,2021-06-01,1
40617426638,Colombia,2021-06-01,1
40617399410,Colombia,2021-06-01,1
40617413558,Colombia,2021-06-01,1
40617394861,Colombia,2021-06-01,1
40617410868,Colombia,2021-06-01,12
40617396411,Colombia,2021-06-01,1
40617402906,Colombia,2021-06-01,1
40617406524,Colombia,2021-06-01,2
40617412429,Colombia,2021-06-01,1
40617373819,Colombia,2021-06-01,1
40617384678,Colombia,2021-06-01,1
40617397174,Colombia,2021-06-01,1
40617399329,Colombia,2021-06-01,1
40617417138,Colombia,2021-06-01,1
40617410138,Colombia,2021-06-01,1
40617380488,Colombia,2021-06-01,1
40617391709,Colombia,2021-06-01,1
40617395213,Colombia,2021-06-01,1
40617422832,Colombia,2021-06-01,1
40617402236,Colombia,2021-06-01,1
40617423426,Colombia,2021-06-01,1
40617410750,Colombia,2021-06-01,1
40617399259,Colombia,2021-06-01,1
40617377937,Colombia,2021-06-01,2
40617409257,Colombia,2021-06-01,1
40617415190,Colombia,2021-06-01,1
40617425543,Colombia,2021-06-01,1
40617379657,Colombia,2021-06-01,1
40617392204,Colombia,2021-06-01,1
40617394878,Colombia,2021-06-01,1
40617384529,Colombia,2021-06-01,1
40617406083,Colombia,2021-06-01,1
40617395286,Colombia,2021-06-01,1
40617394957,Colombia,2021-06-01,1
40617411380,Colombia,2021-06-01,1
40617405434,Colombia,2021-06-01,1
40617398923,Colombia,2021-06-01,1
40617424493,Colombia,2021-06-01,1
40617407747,Colombia,2021-06-01,1
40617386011,Colombia,2021-06-01,1
40617375535,Colombia,2021-06-01,2
40617381908,Colombia,2021-06-01,1
40617407398,Colombia,2021-06-01,1
40617420967,Colombia,2021-06-01,1
40617381605,Colombia,2021-06-01,1
40617392283,Colombia,2021-06-01,1
40617409069,Colombia,2021-06-01,2
40617423973,Colombia,2021-06-01,1
40617376946,Colombia,2021-06-01,1
40617402577,Colombia,2021-06-01,1
40617426399,Colombia,2021-06-01,5
40617423885,Colombia,2021-06-01,2
40617382051,Colombia,2021-06-01,6
40617421068,Colombia,2021-06-01,1
40617376318,Colombia,2021-06-01,1
40617408706,Colombia,2021-06-01,1
40617380662,Colombia,2021-06-01,1
40617410053,Colombia,2021-06-01,1
40617378773,Colombia,2021-06-01,1
40617406886,Colombia,2021-06-01,1
40617375238,Colombia,2021-06-01,1
40617377950,Colombia,2021-06-01,1
40616940017,Colombia,2021-06-01,1
40617405521,Colombia,2021-06-01,1
40617411483,Colombia,2021-06-01,1
40617396378,Colombia,2021-06-01,1
40617393442,Colombia,2021-06-01,1
40617399282,Colombia,2021-06-01,1
40617379199,Colombia,2021-06-01,1
40617380424,Colombia,2021-06-01,1
40617384714,Colombia,2021-06-01,1
40617384294,Colombia,2021-06-01,1
40617410222,Colombia,2021-06-01,1
40617410505,Colombia,2021-06-01,1
40617388986,Colombia,2021-06-01,1
40617395402,Colombia,2021-06-01,1
40617379693,Colombia,2021-06-01,1
40617413675,Colombia,2021-06-01,1
40617412720,Colombia,2021-06-01,1
40617375611,Colombia,2021-06-01,1
40617386514,Colombia,2021-06-01,1
40617376101,Colombia,2021-06-01,1
40617393268,Colombia,2021-06-01,1
40617388828,Colombia,2021-06-01,1
40617386118,Colombia,2021-06-01,1
40617411389,Colombia,2021-06-01,1
40617421499,Colombia,2021-06-01,1
40617399626,Colombia,2021-06-01,1
40617414238,Colombia,2021-06-01,1
40617379861,Colombia,2021-06-01,1
40617426535,Colombia,2021-06-01,1
40617374659,Colombia,2021-06-01,4
40617377638,Colombia,2021-06-01,1
40617417982,Colombia,2021-06-01,1
40617426086,Colombia,2021-06-01,1
40617340323,Colombia,2021-06-01,1
40617405428,Colombia,2021-06-01,1
40617422877,Colombia,2021-06-01,1
40617160940,Colombia,2021-06-01,1
40617386394,Colombia,2021-06-01,1
40617403702,Colombia,2021-06-01,1
40617386969,Colombia,2021-06-01,1
40617381467,Colombia,2021-06-01,1
40617402004,Colombia,2021-06-01,1
40617381519,Colombia,2021-06-01,1
40617417074,Colombia,2021-06-01,1
40617385256,Colombia,2021-06-01,1
40617421317,Colombia,2021-06-01,1
40617386764,Colombia,2021-06-01,1
40616449064,Colombia,2021-06-01,1
40617048670,Colombia,2021-06-01,1
40616336889,Colombia,2021-06-01,1
40617154218,Colombia,2021-06-01,1
40617205631,Colombia,2021-06-01,1
40617360317,Colombia,2021-06-01,1
40617327853,Colombia,2021-06-01,1
40616352078,Colombia,2021-06-01,2
40616410227,Colombia,2021-06-01,1
40616658303,Colombia,2021-06-01,1
40616129982,Colombia,2021-06-01,1
40616104913,Colombia,2021-06-01,1
40617319310,Colombia,2021-06-01,1
40616115214,Colombia,2021-06-01,1
40616945288,Colombia,2021-06-01,1
40616002337,Colombia,2021-06-01,3
40615106403,Colombia,2021-06-01,1
40615591304,Colombia,2021-06-01,1
40615665034,Colombia,2021-06-01,1
40616278815,Colombia,2021-06-01,1
40615446882,Colombia,2021-06-01,4
40616337623,Colombia,2021-06-01,3
40617355648,Colombia,2021-06-01,1
40617135018,Colombia,2021-06-01,1
40614060362,Colombia,2021-06-01,1
40617019975,Colombia,2021-06-01,1
40616864265,Colombia,2021-06-01,1
40616392761,Colombia,2021-06-01,1
40615835817,Colombia,2021-06-01,1
40617286804,Colombia,2021-06-01,2
40617314067,Colombia,2021-06-01,1
40616056741,Colombia,2021-06-01,1
